date,secID,weight,
2014/1/30,801190.SI,1.86,
2014/1/30,801200.SI,4.6,
2014/1/30,801210.SI,1.08,
2014/1/30,801220.SI,7.82,
2014/1/30,801230.SI,1.39,
2014/1/30,801170.SI,3.88,
2014/1/30,801160.SI,3.27,
2014/1/30,801150.SI,10.42,
2014/1/30,801140.SI,3.12,
2014/1/30,801130.SI,2.24,
2014/1/30,801120.SI,3.15,
2014/1/30,801110.SI,1.56,
2014/1/30,801100.SI,4.44,
2014/1/30,801090.SI,5.57,
2014/1/30,801080.SI,6.94,
2014/1/30,801070.SI,10.53,
2014/1/30,801010.SI,2.32,
2014/1/30,801020.SI,1.44,
2014/1/30,801030.SI,7.68,
2014/1/30,801040.SI,0.34,
2014/1/30,801050.SI,4.42,
2014/1/30,801060.SI,4.04,
2014/1/30,801180.SI,7.92,
2014/2/28,801200.SI,4.17,
2014/2/28,801210.SI,1.07,
2014/2/28,801230.SI,1.46,
2014/2/28,801170.SI,3.91,
2014/2/28,801160.SI,3.39,
2014/2/28,801150.SI,10.61,
2014/2/28,801140.SI,3.14,
2014/2/28,801130.SI,2.23,
2014/2/28,801120.SI,3.03,
2014/2/28,801110.SI,1.39,
2014/2/28,801080.SI,6.92,
2014/2/28,801010.SI,2.32,
2014/2/28,801020.SI,1.43,
2014/2/28,801030.SI,7.98,
2014/2/28,801040.SI,0.35,
2014/2/28,801050.SI,4.51,
2014/2/28,801180.SI,7.53,
2014/2/28,801880.SI,4.45,
2014/2/28,801790.SI,1.81,
2014/2/28,801780.SI,0,
2014/2/28,801770.SI,2.48,
2014/2/28,801760.SI,4,
2014/2/28,801750.SI,5.5,
2014/2/28,801740.SI,1.52,
2014/2/28,801730.SI,5.44,
2014/2/28,801720.SI,1.74,
2014/2/28,801710.SI,2.22,
2014/2/28,801890.SI,5.38,
