date,secID,factor
2014-01-30,000001.SZ,1.08536500478e+11
2014-01-30,000002.SZ,81281290271.2
2014-01-30,000004.SZ,1032913213.2
2014-01-30,000005.SZ,2148683976.45
2014-01-30,000006.SZ,5899478351.02
2014-01-30,000007.SZ,3113413093.24
2014-01-30,000008.SZ,2601866054.8
2014-01-30,000009.SZ,11753382322.0
2014-01-30,000010.SZ,4057681537.2
2014-01-30,000011.SZ,4285089671.48
2014-01-30,000012.SZ,16478164346.4
2014-01-30,000014.SZ,1887960550.32
2014-01-30,000016.SZ,4767731907.84
2014-01-30,000017.SZ,3148196777.37
2014-01-30,000018.SZ,1539195439.6
2014-01-30,000019.SZ,1849134134.98
2014-01-30,000020.SZ,1840547975.5
2014-01-30,000021.SZ,9813299951.21
2014-01-30,000022.SZ,9819751607.9
2014-01-30,000023.SZ,1162777291.2
2014-01-30,000024.SZ,31770059305.5
2014-01-30,000025.SZ,2110297728.0
2014-01-30,000026.SZ,2619761692.9
2014-01-30,000027.SZ,13770000813.6
2014-01-30,000028.SZ,15237340272.0
2014-01-30,000029.SZ,3540810000.0
2014-01-30,000030.SZ,7623340471.8
2014-01-30,000031.SZ,6438747165.8
2014-01-30,000032.SZ,1970032147.2
2014-01-30,000033.SZ,1340666343.5
2014-01-30,000034.SZ,1471271212.41
2014-01-30,000035.SZ,2031252350.25
2014-01-30,000036.SZ,3146885593.6
2014-01-30,000037.SZ,2483381895.52
2014-01-30,000038.SZ,1208623654.88
2014-01-30,000039.SZ,41932737803.2
2014-01-30,000040.SZ,1925332792.4
2014-01-30,000042.SZ,5799794828.8
2014-01-30,000043.SZ,3681627016.32
2014-01-30,000045.SZ,4275044405.56
2014-01-30,000046.SZ,19550867484.7
2014-01-30,000048.SZ,4884608387.5
2014-01-30,000049.SZ,8839163671.4
2014-01-30,000050.SZ,7872796125.0
2014-01-30,000055.SZ,4427922944.25
2014-01-30,000056.SZ,4199331507.84
2014-01-30,000058.SZ,4104498822.3
2014-01-30,000059.SZ,5102152059.75
2014-01-30,000060.SZ,11366804248.8
2014-01-30,000061.SZ,13847227309.0
2014-01-30,000062.SZ,9217246194.54
2014-01-30,000063.SZ,45616172759.1
2014-01-30,000065.SZ,3315341619.2
2014-01-30,000066.SZ,5664981832.08
2014-01-30,000068.SZ,5595229935.36
2014-01-30,000069.SZ,35630342973.4
2014-01-30,000070.SZ,2929510000.0
2014-01-30,000078.SZ,5765905177.4
2014-01-30,000088.SZ,11517246000.0
2014-01-30,000089.SZ,6913140414.2
2014-01-30,000090.SZ,3569348929.24
2014-01-30,000096.SZ,2898720000.0
2014-01-30,000099.SZ,4929694800.52
2014-01-30,000100.SZ,21252903837.5
2014-01-30,000150.SZ,1639440000.0
2014-01-30,000151.SZ,2131056000.0
2014-01-30,000153.SZ,2440944418.6
2014-01-30,000155.SZ,1541600000.0
2014-01-30,000156.SZ,29137161719.8
2014-01-30,000157.SZ,38915067952.5
2014-01-30,000158.SZ,3098290910.0
2014-01-30,000159.SZ,3185142126.28
2014-01-30,000301.SZ,3788715343.95
2014-01-30,000333.SZ,79021114008.5
2014-01-30,000338.SZ,34987918682.5
2014-01-30,000400.SZ,16522920960.0
2014-01-30,000401.SZ,10025570480.2
2014-01-30,000402.SZ,14893232660.3
2014-01-30,000403.SZ,4320354944.15
