date,ticker,factor
2014-01-30,000002.SZ,801180.SI
2014-01-30,000004.SZ,801150.SI
2014-01-30,000005.SZ,801180.SI
2014-01-30,000006.SZ,801180.SI
2014-01-30,000007.SZ,801050.SI
2014-01-30,000008.SZ,801210.SI
2014-01-30,000009.SZ,801230.SI
2014-01-30,000010.SZ,801230.SI
2014-01-30,000011.SZ,801180.SI
2014-01-30,000014.SZ,801180.SI
2014-01-30,000016.SZ,801110.SI
2014-01-30,000018.SZ,801230.SI
2014-01-30,000019.SZ,801120.SI
2014-01-30,000020.SZ,801080.SI
2014-01-30,000022.SZ,801170.SI
2014-01-30,000024.SZ,801180.SI
2014-01-30,000026.SZ,801140.SI
2014-01-30,000027.SZ,801160.SI
2014-01-30,000028.SZ,801150.SI
2014-01-30,000029.SZ,801180.SI
2014-01-30,000031.SZ,801180.SI
2014-01-30,000033.SZ,801210.SI
2014-01-30,000036.SZ,801180.SI
2014-01-30,000037.SZ,801160.SI
2014-01-30,000038.SZ,801180.SI
2014-01-30,000040.SZ,801180.SI
2014-01-30,000042.SZ,801180.SI
2014-01-30,000043.SZ,801180.SI
2014-01-30,000045.SZ,801130.SI
2014-01-30,000046.SZ,801180.SI
2014-01-30,000048.SZ,801010.SI
2014-01-30,000049.SZ,801080.SI
2014-01-30,000050.SZ,801080.SI
2014-01-30,000056.SZ,801200.SI
2014-01-30,000058.SZ,801200.SI
2014-01-30,000059.SZ,801030.SI
2014-01-30,000060.SZ,801050.SI
2014-01-30,000061.SZ,801200.SI
2014-01-30,000062.SZ,801200.SI
2014-01-30,000068.SZ,801230.SI
2014-01-30,000069.SZ,801180.SI
2014-01-30,000078.SZ,801150.SI
2014-01-30,000088.SZ,801170.SI
2014-01-30,000089.SZ,801170.SI
2014-01-30,000090.SZ,801180.SI
2014-01-30,000096.SZ,801030.SI
2014-01-30,000099.SZ,801170.SI
2014-01-30,000100.SZ,801110.SI
2014-01-30,000150.SZ,801180.SI
2014-01-30,000151.SZ,801200.SI
2014-01-30,000153.SZ,801150.SI
2014-01-30,000155.SZ,801030.SI
2014-01-30,000158.SZ,801130.SI
2014-01-30,000159.SZ,801020.SI
2014-01-30,000301.SZ,801200.SI
2014-01-30,000333.SZ,801110.SI
2014-01-30,000402.SZ,801180.SI
2014-01-30,000403.SZ,801150.SI
2014-01-30,000404.SZ,801110.SI
2014-01-30,000407.SZ,801030.SI
2014-01-30,000408.SZ,801200.SI
2014-01-30,000409.SZ,801020.SI
2014-01-30,000411.SZ,801150.SI
2014-01-30,000413.SZ,801080.SI
2014-01-30,000416.SZ,801200.SI
2014-01-30,000417.SZ,801200.SI
2014-01-30,000418.SZ,801110.SI
2014-01-30,000419.SZ,801200.SI
2014-01-30,000420.SZ,801030.SI
2014-01-30,000421.SZ,801170.SI
2014-01-30,000422.SZ,801030.SI
2014-01-30,000423.SZ,801150.SI
2014-01-30,000426.SZ,801050.SI
2014-01-30,000428.SZ,801210.SI
2014-01-30,000429.SZ,801170.SI
2014-01-30,000430.SZ,801210.SI
2014-01-30,000488.SZ,801140.SI
2014-01-30,000501.SZ,801200.SI
2014-01-30,000502.SZ,801180.SI
2014-01-30,000505.SZ,801180.SI
2014-01-30,000506.SZ,801180.SI
2014-01-30,000507.SZ,801170.SI
2014-01-30,000510.SZ,801030.SI
2014-01-30,000511.SZ,801180.SI
2014-01-30,000513.SZ,801150.SI
2014-01-30,000514.SZ,801180.SI
2014-01-30,000516.SZ,801200.SI
2014-01-30,000517.SZ,801180.SI
2014-01-30,000518.SZ,801150.SI
2014-01-30,000520.SZ,801170.SI
2014-01-30,000521.SZ,801110.SI
2014-01-30,000523.SZ,801030.SI
2014-01-30,000524.SZ,801210.SI
2014-01-30,000525.SZ,801030.SI
2014-01-30,000526.SZ,801180.SI
2014-01-30,000529.SZ,801230.SI
2014-01-30,000531.SZ,801160.SI
2014-01-30,000532.SZ,801080.SI
2014-01-30,000533.SZ,801110.SI
2014-01-30,000534.SZ,801180.SI
2014-01-30,000536.SZ,801080.SI
2014-01-30,000537.SZ,801180.SI
2014-01-30,000538.SZ,801150.SI
2014-01-30,000539.SZ,801160.SI
2014-01-30,000540.SZ,801180.SI
2014-01-30,000541.SZ,801080.SI
2014-01-30,000543.SZ,801160.SI
2014-01-30,000544.SZ,801160.SI
2014-01-30,000545.SZ,801150.SI
2014-01-30,000546.SZ,801180.SI
2014-01-30,000547.SZ,801230.SI
2014-01-30,000548.SZ,801170.SI
2014-01-30,000551.SZ,801230.SI
2014-01-30,000552.SZ,801020.SI
2014-01-30,000553.SZ,801030.SI
2014-01-30,000554.SZ,801030.SI
2014-01-30,000557.SZ,801120.SI
2014-01-30,000558.SZ,801180.SI
2014-01-30,000560.SZ,801200.SI
2014-01-30,000564.SZ,801200.SI
2014-01-30,000565.SZ,801030.SI
2014-01-30,000566.SZ,801150.SI
2014-01-30,000567.SZ,801180.SI
2014-01-30,000568.SZ,801120.SI
2014-01-30,000571.SZ,801020.SI
2014-01-30,000573.SZ,801180.SI
2014-01-30,000576.SZ,801140.SI
2014-01-30,000582.SZ,801170.SI
2014-01-30,000584.SZ,801030.SI
2014-01-30,000587.SZ,801140.SI
2014-01-30,000589.SZ,801030.SI
2014-01-30,000590.SZ,801150.SI
2014-01-30,000591.SZ,801150.SI
2014-01-30,000592.SZ,801140.SI
2014-01-30,000593.SZ,801230.SI
2014-01-30,000594.SZ,801170.SI
2014-01-30,000596.SZ,801120.SI
2014-01-30,000597.SZ,801150.SI
2014-01-30,000598.SZ,801160.SI
2014-01-30,000599.SZ,801030.SI
2014-01-30,000600.SZ,801160.SI
2014-01-30,000601.SZ,801160.SI
2014-01-30,000603.SZ,801050.SI
2014-01-30,000605.SZ,801150.SI
2014-01-30,000606.SZ,801150.SI
2014-01-30,000608.SZ,801180.SI
2014-01-30,000609.SZ,801180.SI
2014-01-30,000610.SZ,801210.SI
2014-01-30,000611.SZ,801130.SI
2014-01-30,000612.SZ,801050.SI
2014-01-30,000613.SZ,801210.SI
2014-01-30,000615.SZ,801030.SI
2014-01-30,000616.SZ,801180.SI
2014-01-30,000620.SZ,801180.SI
2014-01-30,000626.SZ,801200.SI
2014-01-30,000627.SZ,801030.SI
2014-01-30,000628.SZ,801230.SI
2014-01-30,000629.SZ,801020.SI
2014-01-30,000630.SZ,801050.SI
2014-01-30,000631.SZ,801180.SI
2014-01-30,000632.SZ,801230.SI
2014-01-30,000635.SZ,801030.SI
2014-01-30,000636.SZ,801080.SI
2014-01-30,000637.SZ,801030.SI
2014-01-30,000638.SZ,801180.SI
2014-01-30,000639.SZ,801010.SI
2014-01-30,000650.SZ,801150.SI
2014-01-30,000651.SZ,801110.SI
2014-01-30,000652.SZ,801230.SI
2014-01-30,000655.SZ,801020.SI
2014-01-30,000656.SZ,801180.SI
2014-01-30,000657.SZ,801050.SI
2014-01-30,000659.SZ,801140.SI
2014-01-30,000661.SZ,801150.SI
2014-01-30,000662.SZ,801030.SI
2014-01-30,000663.SZ,801010.SI
2014-01-30,000667.SZ,801180.SI
2014-01-30,000668.SZ,801180.SI
2014-01-30,000669.SZ,801160.SI
2014-01-30,000670.SZ,801180.SI
2014-01-30,000671.SZ,801180.SI
2014-01-30,000677.SZ,801030.SI
2014-01-30,000679.SZ,801200.SI
2014-01-30,000681.SZ,801230.SI
2014-01-30,000683.SZ,801020.SI
2014-01-30,000685.SZ,801160.SI
2014-01-30,000687.SZ,801030.SI
